number,opened_at,amount,state,short_description,ci,user,department,category,processed_date,source_id,type,location,processing_period
03ce8b0b-59b6-40f3-8662-dc95761709db,2024-10-08 09:37:41,25504.2,Processed,Even dark time foreign beat better. Equipment,heart,donald65,HR,Assets,2024-10-20 07:16:48,6ca54cf2-55b1-428e-9ce5-431e73b04ac6,One-time,North America,11
5f92d407-139d-4813-b894-34a20b2e5546,2024-10-20 12:36:53,39109.5,Declined,Discover leave yard energy certain. Equipment,heart,jennifer14,Finance,Miscellaneous,2024-03-29 22:45:51,7842c4b5-1f74-4986-995b-8c7c862eaa40,Recurring,Africa,-205
9382b8a4-91cb-40a8-b416-c96266c01aa2,2024-01-12 12:09:19,11939.4,Processed,Scene organization usually explain approach today much. Equipment,certain,xsmith,Development,Miscellaneous,2024-02-02 12:18:30,72c11c1b-b148-45a6-9cc6-a6f8d958f130,Recurring,Asia,21
5b814601-7ded-44d8-af4d-671bd70a9b36,2024-09-13 23:04:34,60853.0,Pending,Lot along establish recent.,truth,mstark,Customer Support,Services,2024-06-09 14:13:57,c4c8000d-b2ea-4d75-8c37-8973b677745c,One-time,Asia,-97
39d762c4-ee91-4a7f-bfcf-7b7ddb8cdb1d,2024-09-12 06:32:33,24496.559999999998,Submitted,Once south likely arrive us often piece. Service Equipment,among,martin69,IT,Services,2024-06-23 07:13:09,c65f116c-eb0c-41cb-910d-2b29b8f3902d,One-time,Europe,-81
c256e837-391d-45b1-9f64-12f23a3b23f3,2024-10-18 20:34:43,25520.227200000005,Declined,View trade catch realize generation rest head. Service Cloud Asset Equipment,truth,flarsen,Development,Services,2024-01-15 09:59:28,3708733d-2c91-4667-8da4-f6bc2baa87b5,Recurring,Europe,-278
d92a3103-70df-47e9-8bd4-fa94eb0db491,2024-07-09 04:04:28,97901.7,Declined,Factor receive site end education clearly. Cloud,treat,riveraholly,Customer Support,Assets,2024-01-26 15:47:09,f42e7b37-afe2-4d47-9e51-5dd44dabca8a,One-time,Africa,-165
d07ecd55-2314-4c38-8851-884d94b211f7,2024-09-08 02:27:54,71650.8,Submitted,Strong religious evening couple. Cloud Equipment,history,ksutton,Sales,Assets,2024-10-28 21:03:07,f6c0c665-65cc-4a94-ac29-7f4cc1afa336,Recurring,Africa,50
330da719-0a07-4239-97b6-0155081ea6e2,2024-09-19 17:53:26,82062.0,Pending,Family drug foot gas memory truth general. Equipment,likely,lphillips,Product Management,Services,2024-09-09 08:22:15,247f8e4b-ab4a-4afa-9b1d-0cc765acc1d3,One-time,Africa,-11
2a5d6e65-88a9-4bae-841b-c869e59cb580,2024-01-10 01:24:43,20155.2,Processed,Hospital large real behind big first. Asset,heart,aaron97,IT,Travel,2024-03-10 21:59:50,c0dfe5a7-a1db-4675-bb35-3fd31bdc7de9,One-time,Europe,60
d6783f99-ecba-46fb-b7c6-229f3398d81f,2024-02-03 03:07:39,60302.97,Processed,Series protect build person gun every speech. Cloud Equipment,home,martin69,Finance,Travel,2024-10-01 08:57:39,3b5cd4e0-7365-4219-ba33-8934175ef6be,One-time,North America,241
9db12a74-c3ea-4ebc-b846-8ad9855dfe15,2024-08-14 07:11:13,56286.0,Submitted,Tv wonder part in front part TV.,heart,williamgraham,Finance,Services,2024-09-16 03:31:46,a31f7aa4-60bb-48eb-b045-32dbc813f675,One-time,North America,32
c98e6a31-f52d-445d-a9ad-37a5ae60fb97,2024-05-25 14:47:24,55852.0,Declined,Religious culture provide great race government far.,heart,kennethbennett,Sales,Miscellaneous,2024-03-24 20:41:16,e1a11e4e-25ee-407b-b5a4-da3a5cb1a4f8,Recurring,South America,-62
43d5e15e-b8d3-4636-8af1-9c26dc6b270c,2024-09-25 12:16:00,63622.8,Declined,Institution trouble person my yes. Equipment,material,christopher10,Customer Support,Travel,2024-01-31 17:39:11,e41c19dc-795f-4c0f-b78f-eaaaef497e03,One-time,North America,-238
815c9f92-cab7-4ec1-bf90-03196a349151,2024-04-10 23:14:21,133795.5,Pending,Thing many history thing themselves involve. Travel,among,marquezalexandra,Customer Support,Assets,2024-06-21 07:25:27,238b8ca9-4bf1-4737-82b5-b79245c15560,Recurring,Europe,71
debca43c-229c-4fae-b4e0-baeecb4d29e2,2024-07-13 00:41:06,37566.0,Declined,Almost religious main international film her various material. Equipment,seat,christopher10,Finance,Assets,2024-01-09 23:48:26,40f21b84-ae1f-4129-ad9a-03c5d30083e9,Recurring,South America,-186
eb2ad185-3792-4511-b21c-7ed477759b4e,2024-01-17 10:18:49,58721.52000000001,Submitted,Size yard responsibility street and. Travel Cloud Asset,material,ynelson,Finance,Travel,2024-04-09 00:43:15,ce544afb-25fc-4e19-9fcc-9dc0a0665c1a,Recurring,Africa,82
a2c25538-f2f6-4443-a3a0-f0743e555c3a,2024-03-15 18:16:12,84695.0,Processed,Usually land movie easy performance road tonight information.,among,elizabethmedina,Product Management,Assets,2024-05-02 03:16:19,ed21ce67-ef7f-4591-b6a2-5d915740940e,One-time,South America,47
594e4862-f1d6-46c6-80d5-5382b7e65af5,2024-05-16 15:50:05,90247.04000000001,Pending,Increase listen city summer care goal standard. Cloud Asset,seat,solomonsydney,Customer Support,Services,2024-02-11 18:09:19,2716d9e6-4e51-413f-b055-b5fce4c804f8,One-time,Asia,-95
e1f314c8-83af-4958-8f3e-db2b23c932c5,2024-09-01 06:26:19,35588.0,Pending,Local law college program player.,year,kennethbennett,Sales,Services,2024-09-22 12:46:20,0abda99d-23ff-427c-89a3-207679b7b38f,Recurring,Europe,21
08533035-e2bd-47be-9f3c-cfca46d2c0f9,2024-10-17 04:10:48,29193.0,Processed,Source onto last such color it fine.,history,flarsen,IT,Assets,2024-10-26 19:14:40,466217ec-594e-44e9-ab69-e773b975b2ee,Recurring,Africa,9
e7aa80d5-b13a-4fa1-8334-e61e881f0820,2024-07-19 21:22:03,55465.0,Submitted,Analysis can Mrs.,lay,thomasparrish,Sales,Assets,2024-01-13 18:20:52,b74b2cfc-9d55-4a62-aafa-f513a178e5d8,One-time,Africa,-189
