number,opened_at,amount,state,short_description,ci,user,department,category,processed_date,source_id,type,location,processing_time_hours
f76d804c-d103-4f80-9831-c82b4f7e8a50,2024-08-26 14:40:10,94016,Declined,Side blue test serious seem.,above,grobertson,Customer Support,Services,2024-07-15 13:36:44,0d08114c-091e-4682-ab39-b3069b371992,One-time,South America,0.0
9794032c-8575-4c55-bd8d-fc8f932daaf9,2024-01-15 21:48:39,67496,Declined,Stop discussion city raise mind billion short century.,information,shelly42,Product Management,Travel,2024-06-03 23:38:37,127cfe86-43c6-4405-8367-5e1565876d7e,Recurring,Europe,3361.8327777777777
45419499-a2b3-46f5-a0b3-e1a9f550b13f,2024-07-12 23:14:46,53460,Submitted,Number service evidence itself trouble bit must.,blood,lucasoconnor,Customer Support,Assets,2024-01-24 18:10:25,f7eba43b-4098-4275-a538-a16acb44cd5a,One-time,Africa,0.0
f217e59e-5321-4da3-9dc1-ac0ee6d87dd2,2024-08-19 10:06:24,64809,Pending,Short off game cell truth key point.,prove,lucasoconnor,Product Management,Miscellaneous,2024-04-09 14:22:10,d30bf643-d89a-40dd-acc2-d39dcb6d6a8e,One-time,South America,0.0
c63a49d9-f9b5-45cc-9261-74799f10779f,2024-05-30 12:13:24,84610,Pending,Partner modern thus.,project,kdavis,Customer Support,Services,2024-01-24 21:22:33,81fd81e8-bf03-4269-a563-db48f6c47a13,Recurring,Africa,0.0
6494ef8a-2830-4806-8357-9bafb1b50303,2024-01-21 13:13:39,14873,Processed,Owner song population must.,me,huntjulie,HR,Services,2024-09-14 05:20:23,8d053e4e-d9e3-4ef2-ab0e-4f1269add89a,One-time,Europe,5680.112222222222
a743b103-c5c9-40f7-b71a-a92a24c79353,2024-09-14 07:51:39,91701,Processed,Win cost either writer trade weight.,mission,avalenzuela,Customer Support,Travel,2024-10-18 21:39:01,229bd78d-4a1b-4826-9872-88af10d76551,Recurring,Europe,829.7894444444445
97ab1b43-29f3-4d68-aba1-08fba3a0b6fc,2024-09-03 16:07:30,49533,Submitted,Compare law measure country protect yeah adult partner.,blood,alexandra75,Sales,Services,2024-05-14 17:56:01,7ec2c26a-2139-4200-a248-7c6f5e030a6d,Recurring,Europe,0.0
4aa003d8-2b76-4021-bcf9-ec09c1259fcf,2024-06-04 11:18:46,53533,Declined,Meeting figure everyone green the.,individual,kathryn91,Customer Support,Services,2024-03-03 04:56:45,cd763165-e15b-4d74-b2aa-052d4e8a76bb,Recurring,North America,0.0
6495d6d8-017e-4d54-afed-9e2887b598b0,2024-03-25 15:34:14,54140,Pending,Require final region large owner service foot student.,physical,elizabethharper,Sales,Services,2024-01-06 22:20:20,cc408900-7ef7-4aa3-b3cd-5c951b1c5a5a,Recurring,Africa,0.0
3ee4b990-c9f4-416f-8817-7e2b0d4ed0d9,2024-10-17 03:56:55,14669,Submitted,General at perhaps consider short join.,responsibility,shelly42,Development,Services,2024-03-31 21:59:57,68005d73-2aa5-465e-9596-8d755bb80a30,One-time,Europe,0.0
5c75812b-245a-4496-a583-e65c40604b00,2024-03-10 15:17:41,25758,Declined,Coach appear there cell though leader.,far,randypatrick,HR,Travel,2024-05-28 08:11:29,ddcb0589-0acc-445b-92ee-2145286b4d93,Recurring,South America,1888.8966666666668
0b88db53-f41b-47cb-bc06-64c316a29fbd,2024-04-11 02:32:01,27055,Declined,Make watch thus throughout animal face approach.,positive,fmurray,Development,Services,2024-07-08 03:07:23,77ca4ba8-4d2b-4ff1-b3a2-5f04a8241285,Recurring,North America,2112.5894444444443
1af3db80-43ad-415e-a977-eb62090ee635,2024-05-29 22:21:38,29874,Declined,Talk suddenly matter.,physical,heather03,IT,Services,2024-07-07 17:22:41,75aacf7b-f6ab-45fb-9afd-677565ff71cc,One-time,South America,931.0175
74733162-c6e2-4002-b93e-8d8d0d26f079,2024-07-04 01:50:38,55796,Pending,Later remain cell catch.,positive,kthomas,Finance,Assets,2024-09-19 20:08:25,9b3f66c1-62ac-4b96-b656-aa594d5c269f,Recurring,Europe,1866.296388888889
dd5b8f83-362c-436e-a329-25be9d315df1,2024-04-02 21:55:24,12424,Pending,Forget movie voice participant sign eye care.,project,courtney66,Development,Travel,2024-01-29 03:09:11,457a8d28-23d2-4b0f-876e-5a4df9451e83,Recurring,Europe,0.0
7bb6fe3f-3323-4f5b-902a-c1389733971b,2024-08-20 18:36:27,15348,Processed,Son risk almost feel.,project,fharrison,Development,Assets,2024-10-26 03:53:44,1345c619-b206-4a25-bc12-718f14ba5d1c,One-time,Asia,1593.2880555555555
d890f325-9597-43d9-8f35-566222679c81,2024-10-22 23:49:04,23481,Pending,Drop view team positive person.,individual,fharrison,Development,Travel,2024-07-02 04:01:15,717fe576-8424-4af6-968f-df86465b5eef,Recurring,North America,0.0
0e296e8a-961f-475e-8ddd-dbcae762574e,2024-01-03 14:17:23,56730,Processed,Free prevent social stock hear contain.,responsibility,molinakrystal,Product Management,Travel,2024-10-13 00:12:23,089d97ac-0b9b-450e-b388-50879253d0e2,Recurring,South America,6801.916666666667
63357cbf-f121-409d-b48a-6ae330398208,2024-03-02 13:00:05,22975,Submitted,Prove back would level book media movement value.,responsibility,lopezjennifer,HR,Assets,2024-03-30 06:46:44,77f85125-b791-4ed0-8ad3-21db1fa65b38,One-time,South America,665.7775
118a4c00-f011-457c-8107-6deff70cbc3f,2024-08-08 19:01:53,34583,Pending,Source attention represent determine cost.,individual,austinvance,Finance,Assets,2024-10-16 17:09:18,5721ec67-1d66-4a12-9436-b88fe0bc5e2b,Recurring,South America,1654.1236111111111
bf408d1a-32e1-4e07-bab6-8b87601b78ad,2024-03-19 13:57:00,93965,Declined,Issue see involve should.,glass,elizabethharper,Product Management,Assets,2024-06-07 15:46:47,38e42423-6c90-47a9-a6b9-2163ce4f7646,Recurring,Asia,1921.8297222222222
eae68085-6f38-4019-8663-a876d7eb86fe,2024-08-10 22:07:15,28831,Declined,Really garden field part.,positive,evanskevin,HR,Travel,2024-06-30 19:12:05,5bceaddb-38a5-4280-90ba-1caf236e5136,One-time,Africa,0.0
19fb0852-67b8-49e8-9828-a168d2c0fbdc,2024-01-17 11:47:40,12008,Pending,Economy than economic short.,window,randypatrick,HR,Travel,2024-07-13 22:26:44,80794c62-187b-4dad-9416-39d1a2f236ca,Recurring,Europe,4282.651111111111
03e0509f-a2aa-4616-ac79-520646fb0b81,2024-02-14 19:11:58,14676,Submitted,Too war later also.,blood,wendy81,Development,Assets,2024-08-25 07:12:39,f290e4b6-0bba-4ccd-bac2-5c4a7288c4bc,One-time,North America,4620.011388888889
33f57b42-115b-4b33-9833-e79cb87d94f6,2024-04-13 13:07:31,82288,Pending,Bar thousand institution south.,project,grobertson,Customer Support,Services,2024-06-15 09:49:49,cbb9b9f5-3861-46d3-b1c6-2398fcfc3fa2,One-time,Asia,1508.705
57b8c5a0-107f-404b-8c5e-978d2d96fe4d,2024-04-04 12:33:36,59855,Declined,Maybe oil economic system get nor last.,because,heather03,Product Management,Assets,2024-05-27 22:32:20,3546794a-0883-4296-afd6-480217f9f3d1,One-time,North America,1281.9788888888888
