source_id,number,amount,category,state,processed_date,type,opened_at,short_description,ci
QPK-03664835,EXP00000000,6240,Assets,Processed,2023-07-18 12:03:00.000000000,,2023-07-17 12:03:00,Acquisition of new server hardware,IBM System x3550 M5
,EXP00000001,5947,Travel,Declined,,,2023-04-25 19:51:00,Travel equipment asset registration,Travel Kit 01
,EXP00000002,2253,Miscellaneous,Declined,,,2023-05-03 02:19:00,Miscellaneous asset configuration item,Firewall FortiGate 50E
,EXP00000003,2336,Miscellaneous,Processed,2023-04-22 07:45:28.895988932,,2023-04-11 04:45:00,Miscellaneous hardware asset creation,Desktop PC Dell Optiplex 3060
RKY-84503313,EXP00000004,6348,Assets,Declined,,,2023-08-01 11:06:00,Asset Registration for New Hardware,Dell Latitude Laptop 5500
UXB-33198763,EXP00000005,7136,Assets,Processed,2023-05-29 05:50:40.509387677,,2023-05-27 06:35:00,Acquisition of new Dell Laptop asset,Dell Latitude 5410
,EXP00000006,2842,Miscellaneous,Processed,2023-11-09 19:16:28.584779704,,2023-11-04 16:19:00,Miscellaneous Raspberry Pi 4 Model B 4GB,Raspberry Pi 4 Model B 4GB
DQE-80735288,EXP00000007,1963,Services,Processed,2023-06-02 21:01:12.268638419,,2023-05-24 17:27:00,Auto-generated service asset,Cloud Service AWS
GXV-79975414,EXP00000008,1559,Services,Processed,2024-03-04 06:23:30.651134677,,2024-02-27 13:14:00,Cost entry for new service asset,Premium Cloud Storage Service
,EXP00000009,3312,Travel,Processed,2024-02-02 09:45:00.000000000,,2024-02-01 09:45:00,Travel category asset creation,Business Travel Kit
OFQ-86114140,EXP00000010,3707,Assets,Declined,,,2023-03-11 03:11:00,Newly procured Asset for business unit,HP EliteBook 850 G5
EWD-11513501,EXP00000011,6322,Assets,Processed,2023-12-04 11:33:00.000000000,,2023-12-03 11:33:00,Asset registration for Dell Latitude Laptop,Dell Latitude 5501
RQV-97001044,EXP00000012,5209,Assets,Declined,,,2024-02-21 05:39:00,Asset registration for new office equipment,Dell Latitude 7490
ZRA-58891222,EXP00000013,4393,Assets,Processed,2024-04-15 01:09:00.000000000,,2024-04-14 01:09:00,Automatically generated expense line for acquisition of asset,Dell Precision 3540
,EXP00000014,1192,Miscellaneous,Processed,2023-12-20 10:06:18.914856216,,2023-12-11 14:04:00,Asset Entry for Generic Office Hardware,Miscellaneous USB Device
AHF-76707167,EXP00000015,5260,Assets,Submitted,,,2023-06-06 11:41:00,Automatically generated asset line for creation of hardware,Dell Latitude 5410
ZMT-77004632,EXP00000016,4750,Assets,Submitted,,,2023-11-29 02:00:00,Acquisition of new hardware assets,Dell Latitude 7410
MUJ-19469077,EXP00000017,3380,Assets,Processed,2023-09-08 03:01:53.769843145,,2023-09-03 23:26:00,Automatically generated entry for asset acquisition,HP Elitebook 840
,EXP00000018,3244,Travel,Processed,2023-06-08 11:36:07.487936685,,2023-05-21 02:19:00,Automatically generated expenditure for travel department's assets,Corporate Travel﻿﻿ Bus
SBT-39473553,EXP00000019,1916,Services,Processed,2024-02-11 12:25:04.464739780,,2024-01-28 08:02:00,Service asset registration,Cloud Service AWS
