closed_by,assigned_to,opened_at,caller_id,sys_updated_by,number,sys_updated_on,closed_at,state,short_description,assignment_group,priority,category
Fred Luddy,Fred Luddy,2023-01-02 01:07:00,David Loo,admin,INC0000000000,2023-01-13 11:56:32.487389404,2023-01-13 11:56:32.487389404,Resolved,Email server response delay issue,Network,2 - High,Network
Beth Anglin,Luke Wilson,2023-01-02 16:33:00,David Loo,employee,INC0000000001,2023-01-08 03:06:22.546255407,2023-01-08 03:06:22.546255407,Resolved,Email system outage affecting entire office,Service Desk,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-01-03 11:20:00,ITIL User,admin,INC0000000002,2023-01-07 23:30:04.341934899,2023-01-07 23:30:04.341934899,Resolved,Email system outage reported by several users,Service Desk,1 - Critical,Software
Luke Wilson,Beth Anglin,2023-01-03 17:12:00,ITIL User,system,INC0000000003,2023-01-11 16:14:04.414115803,2023-01-11 16:14:04.414115803,Resolved,Email server outage impacting department,Network,1 - Critical,Network
Fred Luddy,Charlie Whitherspoon,2023-01-04 11:30:00,Don Goodliffe,system,INC0000000004,2023-01-19 03:20:15.609583000,2023-01-19 03:20:15.609583000,Resolved,Email system delay causing disruptions,Service Desk,2 - High,Software
Charlie Whitherspoon,Luke Wilson,2023-01-04 15:40:00,Don Goodliffe,system,INC0000000005,2023-01-06 14:08:23.789723228,2023-01-06 14:08:23.789723228,Resolved,Email server response time is slow,Network,2 - High,Network
Charlie Whitherspoon,Fred Luddy,2023-01-04 23:12:00,Bud Richman,employee,INC0000000006,2023-01-13 19:03:26.141302439,2023-01-13 19:03:26.141302439,Closed,Email server downtime,Service Desk,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-01-05 01:17:00,Bud Richman,employee,INC0000000007,2022-12-30 01:02:48.332249534,2022-12-30 01:02:48.332249534,Closed,Email server downtime reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-01-05 02:23:00,ITIL User,admin,INC0000000008,2023-01-10 18:33:49.142360810,2023-01-10 18:33:49.142360810,Closed,Email system latency issue reported,Network,2 - High,Network
Charlie Whitherspoon,Howard Johnson,2023-01-05 04:11:00,ITIL User,employee,INC0000000009,2023-01-08 09:20:26.848553398,2023-01-08 09:20:26.848553398,Resolved,Email system downtime,Service Desk,2 - High,Software
Charlie Whitherspoon,Fred Luddy,2023-01-05 16:09:00,Bud Richman,system,INC0000000010,2023-01-06 22:12:17.038659971,2023-01-06 22:12:17.038659971,Resolved,Email client crashes on startup,Service Desk,2 - High,Software
Howard Johnson,Luke Wilson,2023-01-06 09:50:00,ITIL User,employee,INC0000000011,2023-01-10 14:51:13.421761970,2023-01-10 14:51:13.421761970,Closed,Email system downtime reported,Service Desk,2 - High,Hardware
Beth Anglin,Fred Luddy,2023-01-06 11:03:00,Bud Richman,system,INC0000000012,2023-01-16 13:28:28.409150809,2023-01-16 13:28:28.409150809,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Beth Anglin,2023-01-09 04:22:00,ITIL User,employee,INC0000000013,2023-01-13 10:02:10.092874006,2023-01-13 10:02:10.092874006,Resolved,Email server outage affecting multiple departments,Network,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-01-09 07:36:00,Bud Richman,admin,INC0000000014,2023-01-01 08:52:24.264618786,2023-01-01 08:52:24.264618786,Resolved,Email client crashes repeatedly when opening attachments,Service Desk,2 - High,Software
Charlie Whitherspoon,Beth Anglin,2023-01-09 10:26:00,ITIL User,admin,INC0000000015,2023-01-20 04:33:24.525982202,2023-01-20 04:33:24.525982202,Resolved,Email server downtime impacting team communications,Network,2 - High,Network
Luke Wilson,Fred Luddy,2023-01-10 05:17:00,Don Goodliffe,system,INC0000000016,2023-01-08 14:11:48.113039106,2023-01-08 14:11:48.113039106,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Fred Luddy,2023-01-10 23:43:00,Don Goodliffe,admin,INC0000000017,2023-01-14 22:25:45.280008220,2023-01-14 22:25:45.280008220,Resolved,Email system slowdown affecting multiple users,Service Desk,2 - High,Software
Charlie Whitherspoon,Beth Anglin,2023-01-10 23:52:00,Bud Richman,system,INC0000000018,2023-01-05 11:21:06.490367632,2023-01-05 11:21:06.490367632,Resolved,Email server not responding,Network,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-01-11 16:12:00,Don Goodliffe,admin,INC0000000019,2023-01-11 17:30:57.895759387,2023-01-11 17:30:57.895759387,Resolved,Email client configuration error reported,Service Desk,2 - High,Software
Beth Anglin,Fred Luddy,2023-01-13 10:38:00,David Loo,system,INC0000000020,2023-01-14 13:26:15.964426565,2023-01-14 13:26:15.964426565,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Howard Johnson,2023-01-13 12:47:00,David Loo,employee,INC0000000021,2023-01-16 01:31:09.375700794,2023-01-16 01:31:09.375700794,Resolved,Email system is not syncing properly,Service Desk,2 - High,Software
Luke Wilson,Howard Johnson,2023-01-13 16:03:00,Bud Richman,admin,INC0000000022,2023-01-15 12:46:32.784395883,2023-01-15 12:46:32.784395883,Closed,Email client not syncing new messages,Service Desk,3 - Moderate,Software
Charlie Whitherspoon,Beth Anglin,2023-01-13 20:13:00,ITIL User,admin,INC0000000023,2023-01-20 15:39:28.131389727,2023-01-20 15:39:28.131389727,Resolved,Email system responds slowly,Service Desk,2 - High,Software
Luke Wilson,Luke Wilson,2023-01-14 06:36:00,Don Goodliffe,admin,INC0000000024,2023-01-21 11:30:55.332736406,2023-01-21 11:30:55.332736406,Resolved,Email system latency impacting workflow,Service Desk,2 - High,Software
Luke Wilson,Beth Anglin,2023-01-16 11:42:00,Don Goodliffe,system,INC0000000025,2023-01-27 11:23:48.123247559,2023-01-27 11:23:48.123247559,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-01-18 18:38:00,Don Goodliffe,employee,INC0000000026,2023-01-22 07:49:16.098081492,2023-01-22 07:49:16.098081492,Closed,Email system downtime reported by several users,Service Desk,2 - High,Software
Luke Wilson,Beth Anglin,2023-01-18 18:45:00,Don Goodliffe,system,INC0000000027,2023-01-28 12:00:56.693409371,2023-01-28 12:00:56.693409371,Resolved,Email server not responding,Network,2 - High,Network
Fred Luddy,Fred Luddy,2023-01-19 14:10:00,ITIL User,employee,INC0000000028,2023-01-17 20:52:07.841600871,2023-01-17 20:52:07.841600871,Closed,Email system not responding,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Howard Johnson,2023-01-19 23:45:00,Don Goodliffe,employee,INC0000000029,2023-01-31 21:01:04.167858275,2023-01-31 21:01:04.167858275,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-01-21 00:28:00,Bud Richman,system,INC0000000030,2023-01-21 12:13:51.350145345,2023-01-21 12:13:51.350145345,Closed,Email system performance issues,Service Desk,2 - High,Software
Beth Anglin,Howard Johnson,2023-01-22 03:58:00,ITIL User,system,INC0000000031,2023-01-17 14:56:36.273152466,2023-01-17 14:56:36.273152466,Resolved,Email service disruption reported,Service Desk,2 - High,Network
Luke Wilson,Charlie Whitherspoon,2023-01-22 16:52:00,ITIL User,admin,INC0000000032,2023-01-29 17:17:31.171362957,2023-01-29 17:17:31.171362957,Closed,Email server downtime impacting department operations,Network,2 - High,Network
Beth Anglin,Luke Wilson,2023-01-23 06:42:00,ITIL User,employee,INC0000000033,2023-01-24 18:17:31.536114463,2023-01-24 18:17:31.536114463,Closed,Email server downtime impacting operations,Service Desk,1 - Critical,Network
Howard Johnson,Beth Anglin,2023-01-23 18:12:00,Don Goodliffe,employee,INC0000000034,2023-01-24 02:15:13.538823816,2023-01-24 02:15:13.538823816,Closed,Email server downtime reported by multiple users,Network,1 - Critical,Network
Charlie Whitherspoon,Beth Anglin,2023-01-24 20:12:00,Don Goodliffe,system,INC0000000035,2023-01-26 00:16:27.216070788,2023-01-26 00:16:27.216070788,Resolved,Email system slow and unresponsive,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-01-26 05:11:00,David Loo,employee,INC0000000036,2023-01-30 08:22:43.795903350,2023-01-30 08:22:43.795903350,Closed,Email system downtime reported by several users,Service Desk,2 - High,Software
Luke Wilson,Luke Wilson,2023-01-27 06:28:00,David Loo,system,INC0000000037,2023-01-30 08:56:00.074069099,2023-01-30 08:56:00.074069099,Resolved,Email system outage reported by several users,Service Desk,1 - Critical,Software
Howard Johnson,Beth Anglin,2023-01-27 21:52:00,Bud Richman,admin,INC0000000038,2023-01-28 19:02:50.163203944,2023-01-28 19:02:50.163203944,Closed,Email system response times slow,Service Desk,2 - High,Software
Howard Johnson,Fred Luddy,2023-01-30 23:28:00,David Loo,employee,INC0000000039,2023-01-25 17:47:07.090374218,2023-01-25 17:47:07.090374218,Resolved,Email system downtime reported,Service Desk,2 - High,Network
Howard Johnson,Luke Wilson,2023-02-01 02:45:00,David Loo,employee,INC0000000040,2023-02-17 01:37:52.820966543,2023-02-17 01:37:52.820966543,Closed,User unable to access email on mobile,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-02-02 05:41:00,ITIL User,system,INC0000000041,2023-02-11 09:14:26.330021940,2023-02-11 09:14:26.330021940,Closed,Email client not syncing properly,Service Desk,3 - Moderate,Software
Luke Wilson,Beth Anglin,2023-02-03 13:57:00,Bud Richman,employee,INC0000000042,2023-02-02 18:11:06.372372735,2023-02-02 18:11:06.372372735,Resolved,Email system outage reported,Service Desk,2 - High,Software
Howard Johnson,Luke Wilson,2023-02-05 10:41:00,Don Goodliffe,system,INC0000000043,2023-02-19 09:15:38.445082669,2023-02-19 09:15:38.445082669,Resolved,Email system response delay issue,Service Desk,3 - Moderate,Software
Howard Johnson,Charlie Whitherspoon,2023-02-06 23:39:00,Don Goodliffe,employee,INC0000000044,2023-02-23 21:00:48.431290448,2023-02-23 21:00:48.431290448,Resolved,Email system is down,Service Desk,1 - Critical,Network
Beth Anglin,Howard Johnson,2023-02-07 01:49:00,Bud Richman,admin,INC0000000045,2023-02-08 04:18:20.150389803,2023-02-08 04:18:20.150389803,Closed,Unable to access shared drive on network,Network,2 - High,Network
Howard Johnson,Fred Luddy,2023-02-07 09:14:00,Don Goodliffe,admin,INC0000000046,2023-02-13 13:45:53.696602330,2023-02-13 13:45:53.696602330,Resolved,Email system is running slow,Service Desk,3 - Moderate,Software
