number,opened_at,amount,state,short_description,ci,user,department,category,processed_date,source_id,type,location,processing_time_hours
99e1edfa-b751-4003-b08e-43852febe2ca,2024-01-02 11:58:55,19368,Submitted,That true lose ago message attack.,upon,xfowler,IT,Services,2024-05-23 13:02:18,035a1af2-4f54-4c53-aa0f-a1f632840ef3,One-time,Europe,3409.0563888888887
96fee061-3f43-48bf-bca5-a24c29ba6bd5,2024-04-09 21:42:08,16120,Processed,Certain on study range without benefit.,per,kelsey04,Development,Services,2024-05-28 13:28:31,b34499a2-9a79-4c7d-baf9-06024f5493c7,Recurring,North America,1167.7730555555556
620ed804-fd71-4845-8a0e-19ea431ae738,2024-09-20 14:55:39,73661,Processed,Direction source know more eight enough attorney.,open,jonathan54,Product Management,Services,2024-10-21 06:29:27,18cd284b-f0be-449f-a741-4752b6ec466a,Recurring,South America,735.5633333333334
4f6d226c-ef92-457e-a1cb-0720f918c8d1,2024-01-05 14:29:33,72796,Processed,Choose west price its analysis throw stay.,management,wilsonkaren,Product Management,Services,2024-10-16 15:48:37,a681c0b9-7a85-4013-a57c-45d0362fa061,One-time,North America,6841.317777777777
0d0e83c5-9eed-4db0-b0a2-6a4d8dd2bb33,2024-09-26 09:34:22,91015,Submitted,Town behavior paper wish throughout vote within.,send,xfowler,Product Management,Travel,2024-05-16 14:22:12,3f4f66a6-fc47-4f16-9bf4-75a6554102b0,Recurring,Europe,-3187.2027777777776
f3ad80cc-5834-46da-9963-d09af7600e2d,2024-07-27 05:12:16,11370,Submitted,Federal teacher receive hard represent player back.,me,jennifer15,HR,Travel,2024-10-28 07:24:16,dfc6535a-caaf-4c21-a354-d0dcec0bc595,One-time,Asia,2234.2
f66d173b-7a07-4c3b-95c5-dfa7878275f0,2024-06-20 20:47:31,80219,Submitted,Surface vote far recognize.,get,danielwatts,Product Management,Travel,2024-08-06 02:39:32,74222142-53de-405a-ac9b-b18f62c06403,Recurring,South America,1109.8669444444445
7e0b2220-f4af-42db-bf6a-72476ed2f012,2024-06-21 09:16:43,22938,Declined,Through bring lawyer successful trip training rather watch.,there,kcarney,HR,Services,2024-03-13 10:45:29,9516b7a1-d452-43fb-88b2-243ef2764e2f,One-time,North America,-2398.5205555555553
2df7f05a-8882-4f2b-9e76-e5da8bf3702c,2024-04-25 20:11:54,67919,Declined,Small hospital evidence.,see,hunterlisa,Sales,Assets,2024-08-16 10:26:13,2e1d276a-a1a3-4aad-b08b-16aaaf9687df,One-time,Asia,2702.238611111111
6362baa8-ecd7-4a2e-a55f-4e9d9478f58e,2024-09-01 17:12:48,10681,Submitted,Next performance difficult chance.,me,todd84,HR,Assets,2024-05-05 07:27:21,dab076ee-5a09-4a9b-b9f6-b1f065cb100b,One-time,North America,-2865.7575
